sample,bact_count,bact_dil
1,64,0.0001
2,109,0.0001
3,78,0.0001
4,122,0.0001
5,66,0.0001
6,83,0.0001
7,60,0.0001
8,63,0.0001
9,56,0.0001
10,52,0.0001
11,76,0.0001
12,52,0.0001
13,97,0.0001
14,73,0.0001
15,116,0.0001
16,94,0.0001
17,24,0.0001
18,62,0.0001
19,72,0.0001
20,37,0.0001
21,121,0.0001
22,113,0.0001
23,126,0.0001
24,113,0.0001
25,108,0.0001
26,110,0.0001
27,171,0.0001
28,185,0.0001
29,168,0.0001
30,192,0.0001
31,84,0.0001
32,89,0.0001
33,178,0.0001
34,150,0.0001
35,91,0.0001
36,36,0.0001
37,41,0.0001
38,29,0.0001
39,23,0.0001
40,24,0.0001
41,32,0.0001
42,29,0.0001
43,33,0.0001
44,29,0.0001
45,89,0.0001
46,43,0.0001
47,27,0.0001
48,25,0.0001